148,394786,Condo/Co-op,1,1.5,San Francisco,94102,181 Ofarrell St #311
149,1500000,Single Family Residential,5,2.5,San Francisco,94116,2271 45th Ave
150,2200000,Multi-Family (2-4 Unit),4,3.0,San Francisco,94122,1234 - 1236 7th Ave
151,333245,Condo/Co-op,0,1.0,San Francisco,94102,55 Page St #211
152,639000,Condo/Co-op,0,1.0,San Francisco,94109,1 Daniel Burnham Ct #617
153,698000,Condo/Co-op,1,1.0,San Francisco,94107,555 4th St #502
154,1450000,Townhouse,3,2.5,San Francisco,94132,83 Summit Way
155,799000,Condo/Co-op,2,1.0,San Francisco,94127,1920 - 2E Ocean Ave
156,1290000,Condo/Co-op,2,2.0,San Francisco,94103,345 8th St #406
157,2799888,Multi-Family (2-4 Unit),4,2.0,SAN FRANCISCO,94110,150 Liberty St
158,5615000,Multi-Family (2-4 Unit),5,4.0,San Francisco,94133,288 Union St
159,2245000,Condo/Co-op,3,2.5,SAN FRANCISCO,94110,290 Richland Ave
160,940000,Condo/Co-op,1,1.5,San Francisco,94103,58 Rodgers St
161,650000,Condo/Co-op,1,1.0,San Francisco,94117,1445 Page St Unit A
162,1495000,Condo/Co-op,2,1.5,San Francisco,94133,288 Union St #2
163,1788000,Multi-Family (2-4 Unit),7,4.5,San Francisco,94121,591 - 593 34th Ave
164,635000,Condo/Co-op,1,1.0,San Francisco,94134,101 Crescent Way #2104
165,895000,Condo/Co-op,1,1.0,San Francisco,94109,1050 North Point St #1705
166,1399888,Condo/Co-op,2,2.0,San Francisco,94107,260 King St #1603
167,1795000,Single Family Residential,3,3.0,San Francisco,94122,1371 44th Ave
168,1869000,Condo/Co-op,2,2.5,San Francisco,94110,858 Capp St #1
169,1799000,Condo/Co-op,3,1.5,San Francisco,94117,1100 - 1102 Page St #1102
170,1556900,Condo/Co-op,3,2.5,SAN FRANCISCO,94134,499 Cambridge St
171,1195000,Multi-Family (2-4 Unit),,,SAN FRANCISCO,94110,3016 26th St
