SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,230 7th St Unit K3,San Francisco,CA,94103,678000,1,1.0,San Francisco,657,,,24,1032,407,Active,,,https://www.redfin.com/CA/San-Francisco/230-7th-St-94103/unit-K3/home/177166784,San Francisco MLS,421611198,N,Y,37.777295,-122.409123
MLS Listing,,Condo/Co-op,188 Minna St Unit 36D,San Francisco,CA,94105,3998888,2,2.5,San Francisco,1792,33056,2005,24,2232,2791,Active,,,https://www.redfin.com/CA/San-Francisco/188-Minna-St-94105/unit-36D/home/22883996,San Francisco MLS,421610551,N,Y,37.7861799,-122.4012974
MLS Listing,,Single Family Residential,916 Athens St,San Francisco,CA,94112,1395000,3,2.0,San Francisco,1777,3300,1923,24,785,,Active,,,https://www.redfin.com/CA/San-Francisco/916-Athens-St-94112/home/1584046,San Francisco MLS,421610995,N,Y,37.7145926,-122.4340502
MLS Listing,,Condo/Co-op,1000 3Rd St #314,San Francisco,CA,94158,1398888,2,2.0,San Francisco,1222,,2018,24,1145,962,Active,,,https://www.redfin.com/CA/San-Francisco/1000-3rd-St-94158/unit-314/home/145564281,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40972959,N,Y,37.7752125,-122.3902276
MLS Listing,,Condo/Co-op,555 Golden Gate Ave Unit 9G,San Francisco,CA,94102,1198000,2,2.0,San Francisco,912,,2021,24,1314,633,Active,,,https://www.redfin.com/CA/San-Francisco/555-Golden-Gate-Ave-94102/unit-9G/home/176728356,San Francisco MLS,421611191,N,Y,37.7808655,-122.4196054
MLS Listing,,Condo/Co-op,555 Golden Gate Ave Unit 10B,San Francisco,CA,94103,828888,1,1.0,San Francisco,,,,24,,553,Active,,,https://www.redfin.com/CA/San-Francisco/555-Golden-Gate-Ave-94102/unit-10B/home/177166205,San Francisco MLS,421611192,N,Y,37.7808655,-122.4196054
MLS Listing,,Single Family Residential,4231 26th St,SAN FRANCISCO,CA,94131,1450000,2,1.0,SAN FRANCISCO,922,1553,1907,24,1573,,Active,,,https://www.redfin.com/CA/San-Francisco/4231-26th-St-94131/unit-4231A/home/1599220,MLSListings,ML81866853,N,Y,37.747929,-122.4349606
MLS Listing,,Condo/Co-op,135 Pixley St #1,San Francisco,CA,94123,1115000,1,1.0,San Francisco,,2283,1890,24,,150,Active,,,https://www.redfin.com/CA/San-Francisco/135-Pixley-St-94123/unit-1/home/177164931,San Francisco MLS,421606221,N,Y,37.7985006,-122.4348023
MLS Listing,,Condo/Co-op,720 Moraga St #3,San Francisco,CA,94122,850000,1,1.0,San Francisco,788,,1955,24,1079,300,Active,,,https://www.redfin.com/CA/San-Francisco/720-Moraga-St-94122/unit-3/home/1778352,San Francisco MLS,421610341,N,Y,37.7566224,-122.4704964
MLS Listing,,Condo/Co-op,280 Spear St Unit 30A,San Francisco,CA,94105,2525000,2,2.0,San Francisco,1498,47916,,24,1686,1302,Active,,,https://www.redfin.com/CA/San-Francisco/280-Spear-St-94105/unit-30A/home/177164211,San Francisco MLS,421611174,N,Y,37.7901615,-122.3913352
MLS Listing,,Condo/Co-op,288 Union St #3,San Francisco,CA,94133,2495000,1,1.0,San Francisco,,1746,,25,,,Active,,,https://www.redfin.com/CA/San-Francisco/288-Union-St-94133/unit-3/home/177160396,San Francisco MLS,421610414,N,Y,37.8012732,-122.4039336
MLS Listing,,Condo/Co-op,555 4th St #501,San Francisco,CA,94107,998000,2,2.0,San Francisco,,63237,,25,,689,Active,,,https://www.redfin.com/CA/San-Francisco/555-4th-St-94107/unit-501/home/12402320,San Francisco MLS,421611073,N,Y,37.7791203,-122.3971915
MLS Listing,,Multi-Family (5+ Unit),3375 22nd St,San Francisco,CA,94110,2800000,4,4.0,San Francisco,4140,2850,1941,25,676,,Active,,,https://www.redfin.com/CA/San-Francisco/3375-22nd-St-94110/home/1855481,San Francisco MLS,421610443,N,Y,37.7549585,-122.4226281
MLS Listing,,Condo/Co-op,75 Lily St #5,San Francisco,CA,94102,535000,1,1.0,San Francisco,,1649,,25,,225,Active,,,https://www.redfin.com/CA/San-Francisco/75-Lily-St-94102/unit-5/home/39604033,San Francisco MLS,421611078,N,Y,37.7745084,-122.4220609
MLS Listing,,Multi-Family (5+ Unit),1692 - 1698 Haight St,San Francisco,CA,94117,4950000,0,,San Francisco,8730,3280,1908,25,567,,Active,,,https://www.redfin.com/CA/San-Francisco/1692-Haight-St-94117/home/1580001,San Francisco MLS,421611059,N,Y,37.7698236,-122.4500815
MLS Listing,,Vacant Land,1699 Quint St,San Francisco,CA,94124,200000,0,,San Francisco,,4473,,25,,,Active,,,https://www.redfin.com/CA/San-Francisco/1699-Quint-St-94124/home/110063542,San Francisco MLS,421611056,N,Y,37.7352076,-122.3975757
MLS Listing,,Condo/Co-op,1170 Sacramento St Unit 14C,San Francisco,CA,94108,5495000,2,2.5,San Francisco,2027,2692,1963,25,2711,3226,Active,,,https://www.redfin.com/CA/San-Francisco/1170-Sacramento-St-94108/unit-14C/home/1810985,BAREIS,421609398,N,Y,37.7929056,-122.4121403
MLS Listing,,Multi-Family (5+ Unit),328 Pennsylvania Ave,San Francisco,CA,94107,4095000,0,,San Francisco,,4164,1960,25,,,Active,,,https://www.redfin.com/CA/San-Francisco/328-Pennsylvania-Ave-94107/home/1679582,San Francisco MLS,421611005,N,Y,37.762099,-122.3938743
MLS Listing,,Condo/Co-op,94 Malta Dr,San Francisco,CA,94131,680000,2,2.0,San Francisco,1600,2476,1977,25,425,33,Active,,,https://www.redfin.com/CA/San-Francisco/94-Malta-Dr-94131/home/1202193,San Francisco MLS,421610971,N,Y,37.7364751,-122.4439821
